order_id,user_id,eval_set,order_number,order_dow,order_hour_of_day,days_since_prior_order,order_seq
3367565,1,prior,6,2,7,19.0,0
550135,1,prior,7,1,9,20.0,1
3108588,1,prior,8,1,14,14.0,2
2295261,1,prior,9,1,16,0.0,3
2550362,1,prior,10,4,8,30.0,4
2395582,201,prior,3,3,11,1.0,0
3056620,201,prior,4,2,12,6.0,1
369869,201,prior,5,2,12,0.0,2
1597438,201,prior,6,2,8,7.0,3
2391623,201,prior,7,4,18,30.0,4
3088579,401,prior,1,4,18,,0
302924,401,prior,2,5,9,30.0,1
1721889,401,prior,3,0,15,16.0,2
2178589,401,prior,4,0,20,7.0,3
2155743,601,prior,5,4,14,30.0,0
1104035,601,prior,6,1,12,4.0,1
2123152,601,prior,7,6,10,19.0,2
1242855,601,prior,8,1,13,16.0,3
1181707,601,prior,9,4,14,3.0,4
3007470,801,prior,1,1,14,,0
2173768,801,prior,2,3,11,9.0,1
280917,801,prior,3,6,12,30.0,2
2202987,801,prior,4,5,16,30.0,3
1053069,801,prior,5,1,12,3.0,4
3020360,1001,prior,1,3,11,,0
2517502,1001,prior,2,2,8,30.0,1
225522,1001,prior,3,1,9,30.0,2
1397871,1001,prior,4,2,8,30.0,3
138116,1001,prior,5,6,22,25.0,4
3311532,1201,prior,2,5,16,30.0,0
993071,1201,prior,3,0,14,23.0,1
351146,1201,prior,4,4,15,30.0,2
3332416,1201,prior,5,4,15,28.0,3
3319698,1201,prior,6,1,16,25.0,4
2783574,1401,prior,17,3,10,30.0,0
3018159,1401,prior,18,0,11,30.0,1
2157205,1401,prior,19,3,10,30.0,2
1263820,1401,prior,20,4,16,1.0,3
2246001,1401,prior,21,0,18,17.0,4
1919744,1601,prior,1,6,18,,0
98678,1601,prior,2,1,12,9.0,1
3136784,1601,prior,3,6,18,5.0,2
1558667,1601,prior,4,6,13,30.0,3
2796631,1601,prior,5,1,19,30.0,4
2717057,1801,prior,1,3,1,,0
3233025,1801,prior,2,1,16,5.0,1
226028,1801,prior,3,0,12,30.0,2
947272,2001,prior,15,0,15,12.0,0
402905,2001,prior,16,0,12,14.0,1
3080914,2001,prior,17,0,21,21.0,2
3247240,2001,prior,18,0,22,7.0,3
2912671,2001,prior,19,0,16,7.0,4
28944,2201,prior,6,6,15,16.0,0
539139,2201,prior,7,6,10,14.0,1
2291096,2201,prior,8,5,19,6.0,2
1961541,2201,prior,9,2,14,11.0,3
504,2201,prior,10,3,17,22.0,4
2605091,2401,prior,1,0,14,,0
123811,2401,prior,2,0,9,7.0,1
1536745,2401,prior,3,2,7,2.0,2
2483946,2601,prior,1,1,14,,0
3201711,2601,prior,2,1,14,0.0,1
2939558,2601,prior,3,1,10,7.0,2
2247957,2601,prior,4,0,8,30.0,3
1195513,2601,prior,5,0,13,14.0,4
3309012,2801,prior,1,2,11,,0
1513944,2801,prior,2,5,10,3.0,1
2202278,2801,prior,3,3,11,5.0,2
2759925,2801,prior,4,1,10,12.0,3
1974696,3001,prior,13,2,7,25.0,0
