user_id,product_id,prod_percent_baskets,percent_reordered,average_order_position,days_since_prior_order2
1,196,1.0,1.0,1.8,16.6
1,10258,1.0,1.0,3.8,16.6
1,25133,1.0,1.0,4.0,16.6
1,12427,1.0,1.0,4.2,16.6
1,46149,0.6,0.666666666667,3.0,14.6666666667
1,49235,0.4,0.5,3.5,7.0
1,13032,0.4,1.0,6.5,25.0
1,39657,0.2,0.0,3.0,30.0
1,38928,0.2,0.0,4.0,30.0
1,35951,0.2,0.0,7.0,30.0
201,13712,0.8,1.0,1.5,3.5
201,329,0.8,0.75,3.25,10.75
201,27845,0.6,1.0,4.0,2.33333333333
201,23339,0.4,0.5,2.0,3.0
201,23734,0.4,0.5,3.0,3.0
201,6203,0.4,0.5,6.0,3.0
201,21137,0.4,0.5,7.5,3.0
201,30700,0.4,0.5,7.5,3.0
201,20597,0.4,0.5,9.0,3.0
201,42016,0.2,0.0,1.0,7.0
201,5025,0.2,1.0,2.0,7.0
201,5550,0.2,0.0,2.0,30.0
201,5451,0.2,0.0,3.0,1.0
201,13176,0.2,0.0,3.0,30.0
201,18176,0.2,0.0,4.0,30.0
201,21162,0.2,0.0,5.0,30.0
401,24852,0.75,0.666666666667,2.66666666667,7.66666666667
401,47766,0.75,0.666666666667,3.0,17.6666666667
401,13249,0.5,0.5,8.5,11.5
401,45066,0.5,0.5,9.5,23.0
401,9387,0.5,0.5,11.0,23.0
401,22312,0.25,0.0,1.0,16.0
401,486,0.25,0.0,1.0,
401,49683,0.25,0.0,2.0,16.0
401,21903,0.25,0.0,2.0,30.0
401,47626,0.25,0.0,3.0,16.0
401,47119,0.25,0.0,3.0,30.0
401,1516,0.25,0.0,4.0,7.0
401,28985,0.25,0.0,4.0,16.0
401,15579,0.25,0.0,5.0,7.0
401,16185,0.25,0.0,5.0,30.0
401,39024,0.25,0.0,6.0,7.0
401,26209,0.25,0.0,7.0,16.0
401,25659,0.25,0.0,7.0,30.0
401,40604,0.25,0.0,8.0,16.0
401,46667,0.25,0.0,8.0,30.0
401,8518,0.25,0.0,9.0,16.0
401,36011,0.25,0.0,9.0,30.0
401,42625,0.25,0.0,10.0,16.0
401,12845,0.25,0.0,10.0,30.0
401,24964,0.25,0.0,11.0,16.0
401,3829,0.25,0.0,11.0,30.0
401,27881,0.25,0.0,12.0,16.0
401,29007,0.25,0.0,12.0,30.0
401,21938,0.25,0.0,13.0,16.0
401,48946,0.25,0.0,13.0,30.0
401,29370,0.25,0.0,14.0,30.0
401,42768,0.25,0.0,15.0,30.0
401,15872,0.25,0.0,17.0,16.0
401,30849,0.25,0.0,18.0,16.0
401,46676,0.25,0.0,19.0,16.0
401,20842,0.25,0.0,20.0,16.0
401,41055,0.25,0.0,21.0,16.0
401,49424,0.25,0.0,22.0,16.0
601,39527,0.8,1.0,1.75,10.5
601,34050,0.6,1.0,4.33333333333,16.6666666667
601,30440,0.4,1.0,3.5,11.0
601,4793,0.4,1.0,3.5,17.5
601,27966,0.4,1.0,5.0,17.0
601,23233,0.4,0.5,5.5,11.5
601,5450,0.4,0.5,6.0,16.5
601,45842,0.4,0.5,6.5,17.0
601,17044,0.4,0.5,8.0,16.5
601,26668,0.4,0.5,8.5,3.5
601,44283,0.4,0.5,8.5,3.5
601,25230,0.4,0.5,12.5,3.5
601,5460,0.2,0.0,1.0,30.0
601,19049,0.2,0.0,2.0,30.0
601,14447,0.2,0.0,3.0,19.0
601,22395,0.2,0.0,3.0,30.0
601,9018,0.2,0.0,4.0,4.0
601,30133,0.2,0.0,4.0,16.0
601,913,0.2,0.0,4.0,30.0
601,24476,0.2,1.0,5.0,4.0
601,17600,0.2,1.0,5.0,19.0
601,28769,0.2,0.0,5.0,16.0
601,42492,0.2,0.0,5.0,30.0
601,37711,0.2,1.0,6.0,4.0
601,27730,0.2,0.0,6.0,16.0
601,42701,0.2,1.0,7.0,3.0
601,26790,0.2,0.0,7.0,19.0
601,31343,0.2,0.0,7.0,30.0
601,16525,0.2,0.0,8.0,3.0
601,10798,0.2,0.0,8.0,4.0
601,46720,0.2,0.0,9.0,3.0
601,33731,0.2,0.0,10.0,3.0
601,46511,0.2,0.0,10.0,4.0
601,32603,0.2,0.0,11.0,30.0
601,45007,0.2,0.0,12.0,3.0
601,27156,0.2,0.0,13.0,3.0
601,5024,0.2,0.0,13.0,4.0
601,43920,0.2,0.0,13.0,30.0
601,39251,0.2,0.0,14.0,30.0
601,27683,0.2,0.0,15.0,4.0
801,30742,0.6,0.666666666667,5.0,23.0
801,9681,0.4,0.5,1.0,6.0
801,47626,0.4,0.5,6.0,4.5
801,20574,0.4,0.5,6.5,19.5
801,47209,0.4,0.5,7.0,19.5
801,17027,0.4,0.5,7.5,6.0
801,11576,0.4,0.5,9.5,19.5
801,13176,0.2,0.0,1.0,30.0
801,22035,0.2,0.0,1.0,
801,46979,0.2,0.0,2.0,3.0
801,31663,0.2,0.0,2.0,9.0
801,35914,0.2,0.0,2.0,30.0
801,36956,0.2,0.0,3.0,3.0
801,24830,0.2,0.0,3.0,9.0
801,40516,0.2,0.0,3.0,30.0
801,7371,0.2,0.0,4.0,3.0
801,7963,0.2,0.0,4.0,9.0
801,33754,0.2,0.0,4.0,30.0
801,16759,0.2,0.0,5.0,3.0
801,37774,0.2,0.0,6.0,3.0
801,26209,0.2,0.0,7.0,9.0
801,48647,0.2,0.0,8.0,3.0
801,13252,0.2,0.0,8.0,30.0
801,40604,0.2,0.0,11.0,9.0
801,40706,0.2,0.0,12.0,9.0
1001,33894,1.0,0.8,5.2,23.0
1001,9508,0.8,0.75,5.0,21.25
1001,14778,0.8,0.75,5.0,22.5
1001,28199,0.8,0.75,5.25,21.25
1001,45596,0.6,0.666666666667,6.33333333333,20.0
1001,39832,0.6,0.666666666667,7.33333333333,20.0
1001,4792,0.6,0.666666666667,7.33333333333,30.0
1001,36978,0.6,0.666666666667,8.0,30.0
1001,17982,0.6,0.666666666667,10.6666666667,28.3333333333
1001,34287,0.4,0.5,6.5,15.0
1001,31663,0.4,0.5,6.5,30.0
1001,24799,0.4,0.5,7.0,30.0
1001,20955,0.4,0.5,8.5,27.5
1001,17743,0.4,0.5,9.0,15.0
1001,41650,0.4,0.5,11.0,30.0
1001,37158,0.4,0.5,13.0,30.0
1001,25745,0.2,0.0,1.0,
1001,39581,0.2,0.0,2.0,
1001,7606,0.2,0.0,4.0,25.0
1001,22565,0.2,0.0,4.0,
1001,3696,0.2,0.0,5.0,30.0
1001,36393,0.2,0.0,5.0,
1001,17339,0.2,0.0,6.0,25.0
1001,33000,0.2,0.0,6.0,30.0
1001,30597,0.2,0.0,7.0,25.0
1001,7168,0.2,0.0,8.0,25.0
1001,43409,0.2,0.0,8.0,
1001,25266,0.2,0.0,9.0,25.0
1001,10673,0.2,0.0,9.0,30.0
1001,31964,0.2,0.0,10.0,25.0
1001,25344,0.2,0.0,10.0,30.0
1001,41473,0.2,0.0,10.0,
1001,32813,0.2,0.0,11.0,25.0
1001,32650,0.2,0.0,11.0,30.0
1001,24838,0.2,0.0,11.0,
1001,42976,0.2,0.0,12.0,25.0
1001,20561,0.2,0.0,12.0,30.0
1001,30696,0.2,0.0,13.0,30.0
1001,34862,0.2,0.0,14.0,25.0
1001,16786,0.2,0.0,14.0,30.0
1001,34023,0.2,0.0,14.0,30.0
1001,43954,0.2,0.0,14.0,30.0
1001,4137,0.2,0.0,14.0,
1001,13370,0.2,0.0,15.0,30.0
1001,35390,0.2,0.0,15.0,30.0
1001,49279,0.2,0.0,15.0,30.0
1001,28647,0.2,0.0,16.0,30.0
1001,47307,0.2,0.0,16.0,30.0
1001,29432,0.2,0.0,16.0,
1001,1609,0.2,0.0,17.0,30.0
1201,42450,1.0,1.0,1.2,27.2
1201,23106,1.0,1.0,2.4,27.2
